20598,-0.0062,51275.975,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
20615,-0.0042,51281.9016,s,ccd,Diethelm Roger,,"I,5027,I,5235,,ROTSE",
20663,-0.0132,51298.1409,s,vis,Tvardowskyi,,",,,,priv.comm,",
20666,0.001,51299.1707,s,vis,Tvardowskyi,,",,,,priv.comm,",
20672,-0.0086,51301.1922,s,vis,Tvardowskyi,,",,,,priv.comm,",
20682,0.0058,51304.4216,p,vis,Vrastak M,,"C,0032,,,,RL150",
20707,-0.0026,51312.8758,p,ccd,Diethelm Roger,,"I,5027,I,5235,,ROTSE",
21583,-0.0026,51609.408,p,ccd,Paschke Anton,,"B,0123,B,0123,,",
21585,-0.0125,51610.2451,s,vis,Tvardowskyi,,",,,,priv.comm,",
21591,-0.0173,51612.2713,s,vis,Tvardowskyi,,",,,,priv.comm,",
21644,-0.0074,51630.2222,s,vis,Tvardowskyi,,",,,,priv.comm,",
21782,0.0001,51676.7736,p,ccd,Nelson Robert,,"I,5040,I,5040,,",
21810,0.0087,51686.2604,p,vis,Tvardowskyi,,",,,,priv.comm,",
23677,0.0022,52318.2464,p,ccd,Nakajima Kazuhir,"W,0530,J,0040,,",,
23822,0,52367.3278,p,23),Raetz Manfred,,"D,0158,I,5484,,",
23831,0.0013,52370.3756,p,23),Raetz Manfred,,"D,0158,I,5484,,",
23834,0.001,52371.3908,p,23),Raetz Manfred,,"D,0158,I,5484,,",
24525,-0.0041,52605.2941,p,V,Nakajima Kazuhir,"W,0768,J,0040,,",,
24659,0.0009,52650.659,p,,Paschke Anton,,"0,home,,,,Asas",
24758,0.0027,52684.173,p,V,Nakajima Kazuhir,"W,0893,J,0042,,",,
24758,0.0011,52684.3414,s,V,Kazuhiro Nakajim,"W,0893,J,0042,,",,
24759,0.0017,52684.5105,p,-Ir,Raetz Manfred,,"D,0172,I,5643,,",
24786,0.0011,52693.8196,s,ccd,Nelson Robert,,"I,5493,,,,",
