-716,-0.0352,46998.458,p,vis,Kundrat M,,"C,   0,C,   0,,",
-696,-0.0544,47029.416,p,vis,Ptacek P,,"C,0030,C,0030,,",
-696,-0.0504,47029.42,p,vis,Musil D,,,"C,0030,C,0030,,"
-479,-0.0541,47365.519,p,vis,Paschke Anton,,"B,0089,B,0089,normal,",
-255,-0.0727,47712.445,p,vis,Fedorisin J,,"C,0030,C,0030,,",
-255,-0.0717,47712.446,p,vis,Babic V,,,"C,0030,C,0030,,"
-255,-0.0687,47712.449,p,vis,Curhova M,,"C,0030,C,0030,,",
-255,-0.0677,47712.45,p,vis,Parada P,,"C,0030,C,0030,,",
-255,-0.0677,47712.45,p,vis,Senkova N,,"C,0030,C,0030,,",
-255,-0.0617,47712.456,p,vis,Jevin P,,,"C,0030,C,0030,,"
-255,-0.0587,47712.459,p,vis,Surina M,,"C,0030,C,0030,,",
-255,-0.0587,47712.459,p,vis,Vaskanin I,,"C,0030,C,0030,,",
-255,-0.0577,47712.46,p,vis,Zsolnai I,,"C,0030,C,0030,,",
-244,-0.0592,47729.496,p,vis,Kriebel W,,"D,0056,D,0056,,",
-226,-0.0506,47757.384,p,vis,Peter H,,,"B,0092,B,0092,,"
-9,-0.0583,48093.479,p,vis,Simon Vojta,,"C,0031,C,0031,,",
0,-0.056,48107.421,p,B,Diethelm Roger,,"B,0096,B,0096,,",
0,-0.053,48107.424,p,vis,Maintz Gisela,,"D,0059,D,0059,,",
195,-0.0507,48409.454,p,vis,Pietz J,,,"D,0060,D,0060,,"
206,-0.0672,48426.475,p,vis,Egyhazi Z,,"C,0031,C,0031,,",
206,-0.0582,48426.484,p,vis,Csipes J,,"C,0031,C,0031,,",
217,-0.0616,48443.518,p,vis,Lukasova M,,"C,0031,C,0031,,",
254,-0.0522,48500.8352,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
481,-0.0597,48852.419,p,vis,Peter H,,,"B,0102,B,0102,,"
707,-0.063,49202.458,p,vis,Paschke Anton,,"B,0105,B,0105,,",
716,-0.0668,49216.394,p,vis,Chlachula J,,"C,0031,C,0031,,",
716,-0.0648,49216.396,p,vis,Kolarik Mi.,,"C,0031,C,0031,,",
716,-0.0628,49216.398,p,vis,Kolarik Ma,,"C,0031,C,0031,,",
716,-0.0628,49216.398,p,vis,Trnka J,,,"C,0031,C,0031,,"
716,-0.0618,49216.399,p,vis,Koss Karel,,"C,0031,C,0031,,",
716,-0.0598,49216.401,p,vis,Kozubik D,,"C,0031,C,0031,,",
716,-0.0588,49216.402,p,vis,Mizera M,,"C,0031,C,0031,,",
891,-0.0803,49487.431,p,vis,Sobotka P,,"C,0031,C,0031,,",
902,-0.0586,49504.4901,p,vis,Blaettler Ernst,,"B,0107,B,0107,,",
922,-0.0889,49535.437,p,vis,Rusnak M,,"C,0031,C,0031,,",
922,-0.0809,49535.445,p,vis,Parada M,,"C,0031,C,0031,,",
